noise_type,snr_db,macro_f1,clean_macro_f1
baseline wander,18,0.35156342815000474,0.35140209378491755
baseline wander,12,0.3510972204938667,0.35140209378491755
baseline wander,6,0.3499205254672408,0.35140209378491755
baseline wander,0,0.349757055306197,0.35140209378491755
muscle artifact,18,0.35669060993420787,0.35140209378491755
muscle artifact,12,0.36150804698360256,0.35140209378491755
muscle artifact,6,0.364596467301829,0.35140209378491755
muscle artifact,0,0.3417370735828731,0.35140209378491755
electrode motion,18,0.3471770259854008,0.35140209378491755
electrode motion,12,0.3441609006762545,0.35140209378491755
electrode motion,6,0.3311201725853679,0.35140209378491755
electrode motion,0,0.30595413498140706,0.35140209378491755
50 Hz mains,18,0.35337280173609675,0.35140209378491755
50 Hz mains,12,0.3570717965458373,0.35140209378491755
50 Hz mains,6,0.3635977131287181,0.35140209378491755
50 Hz mains,0,0.3802313101580291,0.35140209378491755
60 Hz mains,18,0.3515159113931222,0.35140209378491755
60 Hz mains,12,0.35203926780707884,0.35140209378491755
60 Hz mains,6,0.3522365128285232,0.35140209378491755
60 Hz mains,0,0.3521535430596595,0.35140209378491755
